                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.58777,                0.29588,                0.78456,                0.95545,                0.84443,                0.93527,                0.75841,                0.79645,                0.84707,                0.94573,             5.9894e-05,             5.9894e-05,             5.9894e-05
                     71,                0.58221,                0.29657,                0.78518,                0.93839,                0.87383,                0.94166,                0.76186,                0.80583,                0.84186,                 0.9496,             5.8023e-05,             5.8023e-05,             5.8023e-05
                     72,                0.58531,                0.29386,                0.78466,                0.94337,                0.88301,                0.94855,                0.76409,                0.80459,                0.80648,                0.95296,             5.6152e-05,             5.6152e-05,             5.6152e-05
                     73,                 0.5723,                0.29006,                0.78865,                0.94767,                0.89089,                0.95239,                0.77076,                0.79988,                0.77572,                0.94819,             5.4281e-05,             5.4281e-05,             5.4281e-05
                     74,                 0.5803,                0.29225,                0.78657,                0.93136,                0.89314,                0.94804,                0.76277,                0.80682,                0.81237,                0.95403,              5.241e-05,              5.241e-05,              5.241e-05
                     75,                0.55556,                0.28767,                0.78554,                0.93474,                0.89089,                0.94639,                0.76782,                0.79841,                 0.8065,                0.95002,             5.0539e-05,             5.0539e-05,             5.0539e-05
                     76,                0.58388,                0.28926,                0.78742,                0.94715,                0.88864,                0.94887,                0.76171,                0.80685,                0.78412,                0.95434,             4.8668e-05,             4.8668e-05,             4.8668e-05
                     77,                0.56786,                0.28745,                0.78787,                0.94651,                0.87577,                 0.9461,                0.76737,                0.80635,                0.80377,                0.95687,             4.6796e-05,             4.6796e-05,             4.6796e-05
                     78,                 0.5687,                0.28816,                0.78419,                0.93802,                0.87289,                0.94256,                0.76145,                0.80584,                 0.8619,                 0.9501,             4.4925e-05,             4.4925e-05,             4.4925e-05
                     79,                0.56735,                0.28603,                0.78702,                0.94506,                0.87069,                0.94248,                0.76559,                0.79356,                0.87726,                0.94485,             4.3054e-05,             4.3054e-05,             4.3054e-05
